instance,customers,run,method,checkpoint,q,BestCost,BKS
6.10.2,6,7,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,7,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,7,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,8,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,8,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,0,0/8,1300.498819297096,1232.5642370084722
6.10.2,6,9,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,9,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,10,coop,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,10,coop,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,1,ims,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,4,4/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,5,5/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,6,6/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,7,7/8,1232.5642370084722,1232.5642370084722
6.10.2,6,1,ims,8,8/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,ims,0,0/8,1274.613016991807,1232.5642370084722
6.10.2,6,2,ims,1,1/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,ims,2,2/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,ims,3,3/8,1232.5642370084722,1232.5642370084722
6.10.2,6,2,ims,4,4/8,1232.5642370084722,1232.5642370084722
