instance,n,set,Tn,run,seed,bks,ims-final,coop-final,delta_coop,ims-evals,coop-evals
10.20.4,10,held-out,1.0,4,400,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41926281,42786860
10.20.4,10,held-out,1.0,5,500,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41541716,42809362
10.20.4,10,held-out,1.0,6,600,6469.04259277102,6469.04259277102,6469.04259277102,0.0,42213605,43275440
10.20.4,10,held-out,1.0,7,700,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41166541,42342139
10.20.4,10,held-out,1.0,8,800,6469.04259277102,6469.04259277102,6469.04259277102,0.0,42099056,42295563
10.20.4,10,held-out,1.0,9,900,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41076789,43069744
10.20.4,10,held-out,1.0,10,1000,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41699071,42678313
10.5.1,10,held-out,1.0,1,100,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30063192,31227425
10.5.1,10,held-out,1.0,2,200,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30701185,31169385
10.5.1,10,held-out,1.0,3,300,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30577605,31023085
10.5.1,10,held-out,1.0,4,400,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30214035,31098067
10.5.1,10,held-out,1.0,5,500,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30293170,31138160
10.5.1,10,held-out,1.0,6,600,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,29500124,29889148
10.5.1,10,held-out,1.0,7,700,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,31241750,31056671
10.5.1,10,held-out,1.0,8,800,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30964145,31117846
10.5.1,10,held-out,1.0,9,900,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30280220,31094572
10.5.1,10,held-out,1.0,10,1000,1212.9464832192677,1212.9464832192677,1212.9464832192677,0.0,30381484,31106845
10.5.2,10,held-out,1.0,1,100,709.2037454135201,709.20374541352,709.20374541352,0.0,31913865,32969096
10.5.2,10,held-out,1.0,2,200,709.2037454135201,709.20374541352,709.20374541352,0.0,32320335,32784582
10.5.2,10,held-out,1.0,3,300,709.2037454135201,709.20374541352,709.20374541352,0.0,31284510,32968122
10.5.2,10,held-out,1.0,4,400,709.2037454135201,709.20374541352,709.20374541352,0.0,31887012,32589813
10.5.2,10,held-out,1.0,5,500,709.2037454135201,709.20374541352,709.20374541352,0.0,31897431,32745878
10.5.2,10,held-out,1.0,6,600,709.2037454135201,709.20374541352,709.20374541352,0.0,32334924,32938349
10.5.2,10,held-out,1.0,7,700,709.2037454135201,709.20374541352,709.20374541352,0.0,32622806,31880058
10.5.2,10,held-out,1.0,8,800,709.2037454135201,709.20374541352,709.20374541352,0.0,32710028,32882879
10.5.2,10,held-out,1.0,9,900,709.2037454135201,709.20374541352,709.20374541352,0.0,31968982,32878326
10.5.2,10,held-out,1.0,10,1000,709.2037454135201,709.20374541352,709.20374541352,0.0,32272201,32779548
10.5.3,10,held-out,1.0,1,100,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28611705,28461691
10.5.3,10,held-out,1.0,2,200,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28781162,29397998
10.5.3,10,held-out,1.0,3,300,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28789824,29555102
10.5.3,10,held-out,1.0,4,400,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28846121,29513757
10.5.3,10,held-out,1.0,5,500,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28731538,29466309
10.5.3,10,held-out,1.0,6,600,775.6904789217117,775.6904789217117,775.6904789217117,0.0,29284806,29581552
10.5.3,10,held-out,1.0,7,700,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28811162,29337137
10.5.3,10,held-out,1.0,8,800,775.6904789217117,775.6904789217117,775.6904789217117,0.0,29095001,29474845
10.5.3,10,held-out,1.0,9,900,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28638495,29584839
10.5.3,10,held-out,1.0,10,1000,775.6904789217117,775.6904789217117,775.6904789217117,0.0,28818542,29576170
10.5.4,10,held-out,1.0,1,100,745.4251979411413,745.4251979411413,745.4251979411413,0.0,32922295,34120302
10.5.4,10,held-out,1.0,2,200,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33428518,33952627
10.5.4,10,held-out,1.0,3,300,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33514133,33853266
10.5.4,10,held-out,1.0,4,400,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33066493,34115942
10.5.4,10,held-out,1.0,5,500,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33260942,33915515
10.5.4,10,held-out,1.0,6,600,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33464719,34101814
10.5.4,10,held-out,1.0,7,700,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33197922,32829220
10.5.4,10,held-out,1.0,8,800,745.4251979411413,745.4251979411413,745.4251979411413,0.0,33277991,32753916
10.5.4,10,held-out,1.0,9,900,745.4251979411413,745.4251979411413,745.4251979411413,0.0,32813567,33974103
10.5.4,10,held-out,1.0,10,1000,745.4251979411413,745.4251979411413,745.4251979411413,0.0,32946532,32872543
12.10.1,12,held-out,1.0,1,100,1669.8569829807207,1669.8569829807202,1669.8569829807202,0.0,32160591,33133393
12.10.1,12,held-out,1.0,2,200,1669.8569829807207,1669.8569829807202,1669.8569829807202,0.0,31953901,33139801
12.10.1,12,held-out,1.0,3,300,1669.8569829807207,1669.8569829807204,1669.8569829807204,0.0,32256511,33167888
