n,instance,pool_set,pool_size,strategy,run,final_cost,final_rpd_pct,pull_accept_count,pull_offer_count,ar_pct,pull_round_improved_count,er_pct,pool_diversity
200,200.10.2,po3,4,quality-only,5,1461.7795177027033,-0.012806383568074835,38,56,67.85714285714286,34,89.47368421052632,0.029942991330060172
200,200.10.2,po3,4,quality-only,6,1464.7760303788373,0.19215810628437976,35,54,64.81481481481481,32,91.42857142857143,0.3046095934812163
200,200.10.2,po3,4,quality-only,7,1457.5062307083242,-0.30510352476557534,34,59,57.6271186440678,23,67.64705882352942,0.0
200,200.10.2,po3,4,quality-only,8,1444.6714425250761,-1.1830159839038334,44,57,77.19298245614034,37,84.0909090909091,0.0
200,200.10.2,po3,4,quality-only,9,1452.1661514769396,-0.670370331126815,36,57,63.1578947368421,25,69.44444444444444,0.0
200,200.10.2,po3,4,quality-only,10,1477.1077514277108,1.035660265950238,33,60,55.00000000000001,18,54.54545454545454,0.0315409315310679
200,200.10.2,po3,4,td-crowding,1,1467.1761958308175,0.356331844424981,21,58,36.206896551724135,19,90.47619047619048,0.5354668991107944
200,200.10.2,po3,4,td-crowding,2,1465.0783243990743,0.21283532221502136,19,60,31.666666666666664,13,68.42105263157895,0.5053458258115601
200,200.10.2,po3,4,td-crowding,3,1441.6999526124157,-1.3862688914923775,19,54,35.18518518518518,19,100.0,0.5529348127370685
200,200.10.2,po3,4,td-crowding,4,1441.6999526124157,-1.3862688914923775,25,55,45.45454545454545,23,92.0,0.567429441788064
200,200.10.2,po3,4,td-crowding,5,1463.3610112089539,0.09536936762942343,22,57,38.59649122807017,18,81.81818181818183,0.5918068309915233
